county,state,Population (2014),Population (2010),% people under 18 (2014),% people over 65 (2014),% female (2014),% white (2014),% black (2014),% asian (2014),% hispanic (2014),% immigrants (2009-2013),"% high school graduate, people over 25 (2009-2013)","% bachelors degree, people over 25 (2009-2013)",# of veterans(2009-2013),"mean travel time to work, mins (2009-2013)",homeownership rate (2009-2013),Per capita money income in past 12 months (2009-2013),median household income (2009-2013),% people below poverty line (2009-2013),land area in square miles (2010),population per square mile (2010),Population  per square mile using 2014 population and 2010 land area
Montgomery ,TX,518947,455746,26.8,12,50.5,89.6,4.9,2.7,22.5,12.9,86.3,30.7,32099,31.7,72.9,32911,67766,12.4,1041.74,437.5,498.15405
Moore ,TX,22148,21904,31.3,10.2,47.9,85.5,3,8.6,52.8,28.3,67.5,13.2,582,16.4,72.8,19770,51181,15.4,899.69,24.3,24.6173682
Morris ,TX,12743,12934,22.9,21,52,73.1,23,0.5,9.1,4.3,82,13.1,1204,23.1,74.2,20045,37849,20.6,251.99,51.3,50.56946704
Motley ,TX,1153,1210,19.9,28.4,48.4,95.1,2.1,0.9,16.5,2.5,86.8,18.1,74,17.8,66.3,18828,35845,25.5,989.56,1.2,1.165164315
Nacogdoches ,TX,65301,64524,23.5,13.1,52.3,77.3,18.3,1.7,18.5,9.2,80.5,24.3,3412,18.7,58.1,20362,36777,25.7,946.54,68.2,68.98916052
Navarro ,TX,48195,47735,26.2,16.2,50.5,81.5,14,0.8,25.6,11.3,78.6,16.5,3124,24.2,67.8,20327,40795,21.1,1009.63,47.3,47.73530897
Newton ,TX,14138,14445,21.7,17.7,48.4,76.9,20.1,0.7,3.6,2.3,85.1,7.5,1518,33.7,76.8,20431,37246,16.1,933.68,15.5,15.14223288
Nolan ,TX,15093,15216,25.8,16.9,49.7,91.6,5.2,0.7,36,4.5,78.7,12.5,1008,17,69.7,19002,36806,18.5,912,16.7,16.54934211
Nueces ,TX,356221,340223,25.3,13,50.7,91.2,4.4,2,62.4,7.7,79.8,20,28867,19.7,58.6,23671,47057,18.4,838.48,405.8,424.8413796
Ochiltree ,TX,10758,10223,31.5,10.3,49.1,95.4,1,0.8,51.5,21.8,69.5,15.3,500,17.8,70,23382,49964,17.3,917.63,11.1,11.72367948
Oldham ,TX,2070,2052,28.1,13.9,48.9,92.3,3.6,1.2,14.6,3.5,87.3,31.3,83,17.6,72.6,22519,48929,14.2,1500.53,1.4,1.379512572
Orange ,TX,83433,81837,24.7,15.1,50.5,87.8,8.8,1.1,6.9,2.2,86.2,13,6481,22.9,76,24736,49507,14.4,333.67,245.3,250.0464531
Palo Pinto ,TX,28096,28111,24.2,18.2,50.9,94.2,2.5,0.7,19.8,6.2,79.4,15.1,2430,23.7,71.6,23655,41670,18.5,951.79,29.5,29.51911661
Panola ,TX,23769,23796,24.2,16.9,50.5,81,16,0.5,9.1,4.1,83.5,11.8,1737,24.8,81.4,26525,52453,12.7,801.75,29.7,29.6463985
Parker ,TX,123164,116927,24.4,14.8,50,95.1,1.7,0.7,11.4,4.1,88.1,25,10653,31,79.2,30692,64515,10.9,903.48,129.4,136.321778
Parmer ,TX,9908,10269,29.1,12.7,48.3,94.4,1.7,0.5,62.1,17.7,62.5,16.2,367,15,71.2,19304,44943,21.3,880.78,11.7,11.2491201
Pecos ,TX,15893,15507,24.5,12.4,43.3,92.2,4.4,1.2,67.6,14.3,68.7,12.7,825,17,65.4,20245,47019,16.7,4763.85,3.3,3.336167176
Polk ,TX,46079,45413,20.5,19.9,46.4,84.1,11.4,0.7,14.4,6.4,76.9,11.3,4558,26.1,79.6,19498,37855,20.2,1057.09,43,43.59042276
Potter ,TX,121627,121073,27.6,11.6,48.7,81.1,10.6,4.8,37.4,13.9,75.7,15.6,7520,18.3,58.5,19861,37951,23.1,908.37,133.3,133.8958794
Presidio ,TX,6976,7818,26,21,50.1,94.3,1.5,1.6,82.7,30.9,54.7,23.6,374,15.7,71.9,16175,29634,24.8,3855.24,2,1.809485272
Rains ,TX,11032,10914,20.2,23.6,50,93.6,2.9,0.8,8.2,4.1,82.2,11,1375,32.6,81.4,21946,44478,13.6,229.45,47.6,48.08019176
Randall ,TX,128220,120725,24.3,13.6,50.8,92.5,3.2,1.7,19.5,4.4,91.1,30.2,9293,19.2,69.1,29124,58529,10.3,911.54,132.4,140.6630537
Reagan ,TX,3755,3367,30.3,10.3,47.7,92.1,3.9,0.7,65.9,22.4,61.2,10.6,93,17.7,72.5,26633,61250,9.5,1175.3,2.9,3.194928954
Real ,TX,3371,3309,17.3,28.5,50.6,94.7,0.9,0.3,26.7,2.7,76.6,19.5,392,20.7,76.8,17931,33885,20.2,699.2,4.7,4.821224256
Red River ,TX,12446,12860,20.2,22.8,51.7,79,17.4,0.3,7.2,3,76.7,14.5,1059,26.6,70.8,19014,31712,16.1,1036.58,12.4,12.00679156
Reeves ,TX,14349,13783,22.5,12,39.9,91.6,5.5,1.1,74.4,17.2,63.2,10.5,603,16.8,75,15467,40571,21.9,2635.38,5.2,5.444755595
Refugio ,TX,7302,7383,23.1,20.7,50.5,90,6.7,0.8,49.8,3.8,78.6,11.2,601,22.4,77.6,23174,44548,16.2,770.44,9.6,9.477701054
Roberts ,TX,928,929,24.7,18.6,50.8,96.6,0.5,0.2,10.9,1.4,92.6,33.2,35,15.6,90.1,36172,67321,3,924.06,1,1.004263792
Robertson ,TX,16500,16622,24.4,18.5,50.5,76,20.6,0.8,19.7,5.4,76.3,15.8,956,26.5,71.2,21709,40601,20.7,855.68,19.4,19.2829095
Rockwall ,TX,87809,78337,27.7,11.8,51,88.4,6.1,2.8,17,9.5,91.2,36.5,5062,30.8,83.6,34617,86119,5.9,127.04,616.7,691.1917506
Runnels ,TX,10416,10501,24,20.6,50,93.8,2.6,0.7,33.9,5.5,77.6,14.9,877,18.1,73.3,20235,37667,21.9,1050.95,10,9.911032875
Rusk ,TX,53923,53330,23.2,15.1,47.1,78.9,17.7,0.7,16.1,6.4,79.8,13.8,4364,24.1,76,21640,45752,17.8,924.03,57.7,58.35633042
Sabine ,TX,10350,10834,18.6,28.6,50.7,89.8,7.5,0.4,4.3,1.7,80.3,13.4,1488,28.8,87.2,18762,32963,25.8,491.39,22,21.06269969
San Augustine ,TX,8610,8865,20.4,25.3,51.3,74.7,22.8,0.5,7.4,1.7,77.2,12.4,901,26.5,77.7,18695,28390,26.4,530.66,16.7,16.2250782
San Jacinto ,TX,27099,26384,22.4,20,49.6,86.2,10.3,0.5,12.7,3.2,78.9,12,2308,40.4,83,24733,46107,20.1,569.24,46.3,47.60557937
San Patricio ,TX,66915,64804,27.3,14.2,49.8,94.2,2.2,1.1,56,4.8,77,14.7,5350,22.3,68.6,23373,50657,17,693.45,93.5,96.49578196
San Saba ,TX,5622,6131,20.8,22.8,47.7,94.4,2.5,0.3,29.1,7.4,81,13.1,457,18.8,79.4,18009,37743,15.2,1135.3,5.4,4.951995067
Schleicher ,TX,3162,3461,29.2,15.1,48.9,95.4,1.8,0.5,52.2,13,76.3,21.9,169,23.8,73.8,24787,50648,22.8,1310.63,2.6,2.41258021
Scurry ,TX,17328,16921,25.5,13.7,46,91.4,5.1,0.8,39.3,6.7,76.1,14.4,1065,16,71.9,22860,47513,15.7,905.44,18.7,19.13765683
Shackelford ,TX,3343,3378,23.5,18.5,51.2,95.9,1.4,0.4,11.5,4.7,87.1,25.4,200,18.7,75.1,25436,47277,16.1,914.29,3.7,3.656389111
Shelby ,TX,25515,25448,26.4,16.1,50.5,79.2,17.6,1,18,9.8,77.5,13.7,1826,23.1,71.7,21126,37081,22.1,795.58,32,32.07094195
Sherman ,TX,3084,3034,27.8,14,47.7,95.4,1.2,0.6,42.2,17.8,77,20,180,13.7,80.2,21936,48185,13.7,923.04,3.3,3.341133645
Smith ,TX,218842,209714,24.9,15.5,51.7,78.1,17.9,1.5,18.7,9.1,85.2,24.5,15549,22.1,67,25626,47432,16.7,921.45,227.6,237.4974225
Somervell ,TX,8694,8490,23.5,18.1,50.7,94.2,1.2,1,19.4,7.4,84.4,29,774,26.4,73.8,28134,55269,9.3,186.46,45.5,46.62662233
Starr ,TX,62955,60968,33,11.3,51.4,98.8,0.4,0.3,95.8,31.3,45,8.6,1007,21.2,78.3,11584,24927,39.2,1223.18,49.8,51.46830393
Stephens ,TX,9405,9630,22.3,19.1,47.7,94.7,2.6,0.5,22.9,5.9,80.6,15.6,624,17.4,75.1,20535,41728,18.8,896.72,10.7,10.48822375
Sterling ,TX,1339,1143,26.7,16.7,47.8,94.3,1.3,0.1,38,11.6,76.9,22.3,23,20.1,66.2,20157,50543,15.1,923.45,1.2,1.449997293
Stonewall ,TX,1403,1490,22.4,25.8,51.9,92.4,3.8,0.9,15.6,2.4,74.6,20.2,122,18,78.7,24063,42429,16.6,916.31,1.6,1.531141208
Sutton ,TX,3972,4128,25.5,16.1,49.7,96.8,0.9,0.4,60.8,9.4,76.9,17.9,188,14.8,65.1,27721,53806,7.3,1453.93,2.8,2.731905938
Swisher ,TX,7581,7854,25.4,18.1,47.7,88.4,8.3,0.4,42.1,5.5,78.3,16.3,616,16.7,73.1,17880,36753,23.1,890.16,8.8,8.516446482
Tarrant ,TX,1945360,1809034,27.1,10.2,51.1,75.2,16.2,5.3,27.8,15.6,84.5,29.5,118263,26,61.7,28266,56853,15.2,863.61,2094.7,2252.590869
Taylor ,TX,135143,131506,24.6,13.9,51.1,86.6,7.8,1.9,23.6,5.7,85.4,24.4,12003,16,60.8,23141,44891,17.4,915.55,143.6,147.6085413
Terrell ,TX,927,984,20.1,23,46.8,91.8,1.9,2.4,48.9,9.9,74.5,17.4,62,16.1,72.2,31578,39479,10,2358.03,0.4,0.393124769
Terry ,TX,12739,12651,26.9,14.6,47.2,91.9,5.2,0.6,53.2,9.8,69.1,15.5,490,20,72.2,21201,37679,14,888.84,14.2,14.33216327
Throckmorton ,TX,1608,1641,21.5,25.3,51,96.5,1.1,0.4,11.9,4.3,80.1,19.8,137,23.4,72.7,24086,39286,13.7,912.55,1.8,1.762095228
Titus ,TX,32506,32334,29.2,13.2,50.5,84.8,10.3,1,41.5,19.3,72.1,13.8,1752,18.2,71.8,19356,42939,22,406.05,79.6,80.05418052
Tom Green ,TX,116608,110224,23.6,14.5,50.3,90.8,4.6,1.3,38.1,6.9,82.6,21.6,8975,16.9,64.2,23712,44545,16.2,1521.97,72.4,76.61649047
Travis ,TX,1151145,1024266,23,8.4,49.6,80.7,8.9,6.5,33.9,17.8,87,44.9,53933,24.1,51.8,33206,58025,17.4,990.2,1034.4,1162.537871
Trinity ,TX,14224,14585,19.6,25.3,51.8,87.3,9.8,0.4,9.2,4.2,81.3,9.9,1421,32.5,81.4,18730,34555,16.1,693.61,21,20.50720145
Tyler ,TX,21418,21766,19.4,20.6,45.9,86.1,11.5,0.4,7.7,1.8,82.8,11.8,1909,32.7,82.6,19612,39940,17.4,924.5,23.5,23.16711736
Upshur ,TX,40354,39309,24,17.1,50.5,87.8,8.5,0.5,7.9,3.3,82.5,13.3,3528,27.6,78.3,22483,46600,15.8,582.95,67.4,69.22377562
Upton ,TX,3454,3355,28.5,13.8,49,92.4,2.7,0.4,52.8,12.5,73.9,11.5,158,18.5,73.9,22953,51750,17.1,1241.32,2.7,2.782521832
Uvalde ,TX,27117,26405,27.8,16,50.7,96,1.2,0.7,70.2,9.7,69.1,14.5,1426,17.7,71.1,17479,34902,26.5,1551.95,17,17.47285673
Val Verde ,TX,48974,48879,28.9,13.8,49.2,95.2,2,0.8,80.4,23.3,67,15.3,2980,18.8,66.7,17867,40450,22.1,3144.75,15.5,15.57325702
Van Zandt ,TX,52910,52579,23.5,19.8,50.9,93.8,3.1,0.5,10.2,4.4,81.2,13.5,4789,33.2,77.9,21920,43439,16.4,842.56,62.4,62.79671477
Victoria ,TX,91081,86793,25.8,14.6,50.9,89.4,6.9,1.4,45.3,5.6,81.8,16.3,6105,20.3,65.4,24700,50364,16.9,882.14,98.4,103.250051
Walker ,TX,69789,67861,15.6,11.4,41.2,73.4,23.1,1.2,17.8,7.3,81.7,17.9,5028,24,57,16330,37617,26,784.17,86.5,88.99728375
Waller ,TX,46820,43205,24,11.5,50.2,70.5,25.6,0.8,29.8,12.9,80.9,19,2256,31,67.9,22412,50097,20.4,513.43,84.1,91.19061995
Ward ,TX,11625,10658,28,14.1,50.3,90.8,4.9,0.7,51.5,7.3,71.9,12.5,854,18.5,72.2,22278,42568,20.4,835.6,12.8,13.91215893
Washington ,TX,34438,33718,21.6,19.8,50.7,78.5,18,1.8,15.1,6.9,80.9,23.5,2401,19.8,69.2,23070,44858,14.9,603.95,55.8,57.0212766
Webb ,TX,266673,250304,34,8.7,51.2,97.6,0.7,0.7,95.2,27.6,64.2,17.2,5997,21.7,64,14553,39449,31.4,3361.48,74.5,79.33202042
Wharton ,TX,41168,41280,25.9,15.8,50.7,83.6,14.1,0.6,39.7,8.4,74.7,14.6,2001,22.9,68,20310,40411,18.8,1086.15,38,37.90268379
Wheeler ,TX,5714,5410,26.4,17.2,48.9,93.2,2.8,0.7,27.3,11.2,80.5,18.4,319,18.4,72.5,30097,51766,14.3,914.52,5.9,6.248086428
Wichita ,TX,132355,131500,22.8,13.8,48.4,83,10.9,2.2,18.3,6.8,85.2,20.1,11953,15.5,62.4,22905,45086,15.6,627.78,209.5,210.8302271
Wilbarger ,TX,12973,13535,23.6,16.9,51,86.6,8.7,1,28.7,4.3,79,16.5,896,13.1,68.3,20373,41658,20.7,970.84,13.9,13.36265502
Willacy ,TX,21903,22134,25.3,12.6,45.4,95.3,2.7,0.8,87.7,15.7,62.2,8.8,1081,18,77.9,11313,25886,40,590.55,37.5,37.08915418
Williamson ,TX,489250,422679,27.1,10.9,50.9,83.6,6.8,6,23.9,10.9,92,38,33319,26,68.6,31070,71803,7,1118.3,378,437.4944112
Wilson ,TX,46402,42918,24.8,14.9,49.9,95.4,1.7,0.5,38.6,4.6,84.6,18,4636,32.7,84.9,27238,64571,11.5,803.73,53.4,57.7333184
Winkler ,TX,7821,7110,30.4,10.9,48.7,93.7,3,0.6,58.2,12.8,70.1,9.6,289,23.3,80.4,23629,48992,12.8,841.11,8.5,9.298427079
Wise ,TX,61638,59127,25.1,14.4,49.6,95.3,1.6,0.5,18.4,6.3,83.8,16.1,4581,30.9,80.6,25663,56005,10.8,904.42,65.4,68.1519648
Wood ,TX,42852,41964,19.7,26.5,50.6,91.9,5,0.6,9.6,3.5,83.4,17,4876,27.5,81.1,23129,43649,14.6,645.23,65,66.41352696
Yoakum ,TX,8286,7879,32.3,11.9,50.6,95,1.6,0.5,63.1,22.7,70.3,15,361,17.8,80,21389,49340,11.7,799.71,9.9,10.36125596
Young ,TX,18350,18550,24,19.4,50.6,95,1.6,0.6,17.9,5.7,78.6,16.7,1345,16.3,71.8,26979,44429,16,914.47,20.3,20.06626789
Zapata ,TX,14319,14018,33.4,11.6,49.6,98.7,0.4,0.2,93.9,24.5,54.8,8.5,478,17.7,79.1,16671,31109,34.7,998.41,14,14.34180347
Zavala ,TX,12267,11677,30.6,12.5,49.9,96.6,1.3,0.2,93,11.2,60.3,9.4,422,17.3,68.6,12828,25625,35,1297.41,9,9.454991098
Beaver ,UT,6461,6629,32.3,13.7,48.7,94.2,0.4,1.3,10.9,6.8,90.9,17,383,16.9,77.7,19415,46660,14.1,2589.88,2.6,2.49471018
Box Elder ,UT,51518,49975,32.8,12.2,49.4,95.2,0.5,1,9.1,3.1,91.7,21.2,2724,22.6,79.3,21720,57292,8.8,5745.55,8.7,8.966591536
Cache ,UT,118343,112656,31.1,8.6,50.1,93.2,0.8,2.6,10.5,6.9,92.5,36.9,4258,16.6,64.5,20074,49506,16.6,1164.81,96.7,101.598544
Carbon ,UT,20660,21403,26.9,15.3,50.3,95,0.8,0.7,13.1,2.9,86,12.6,1316,15.9,69.5,20155,44724,15.1,1478.49,14.5,13.97371643
Daggett ,UT,1117,1059,23,21.2,44.1,96,0.4,0.5,4.2,1.8,86,18.8,108,15,74.1,22811,46917,8.6,696.98,1.5,1.602628483
Davis ,UT,329692,306479,33.3,9.1,49.6,92.7,1.4,2,9.1,4.7,95.4,34.1,20019,22.3,77.7,26035,69707,7.9,298.78,1025.8,1103.46074
Duchesne ,UT,20380,18607,34.3,10.9,48.9,91.6,0.6,0.5,8.1,3,86.4,16,931,22.5,75.9,23411,57683,8.9,3240.95,5.7,6.288279671
Emery ,UT,10631,10976,31,14.6,49.2,97,0.5,0.5,6.3,2.1,89.8,12.5,546,19.1,81.6,20137,52763,10,4462.31,2.5,2.382398354
Garfield ,UT,5024,5172,25.3,19,47.8,94.5,0.5,1.1,5.6,3.2,92,20.1,449,13.3,78.3,21989,45357,11.5,5175.12,1,0.970798745
Grand ,UT,9429,9225,22.7,15.9,50.1,91.7,0.7,1,10,4.7,91,25.2,618,14.5,68,23558,45888,13.7,3671.54,2.5,2.568132173
Iron ,UT,47269,46163,29.2,11.4,50,93.4,0.7,1,8.3,3.3,90.6,26.4,2673,18.2,62.8,17839,42369,20.9,3296.68,14,14.33836466
Juab ,UT,10486,10246,35.1,11.7,48.9,96.4,0.4,0.4,4.7,1.2,89.9,14.6,534,24,80.3,18108,55247,14.7,3392.28,3,3.091136345
Kane ,UT,7254,7125,22.9,21.5,50,95.8,0.4,0.5,4.5,2.8,94.4,25.3,695,16.5,78.9,24154,48540,7.8,3990.23,1.8,1.817940319
Millard ,UT,12606,12503,31.4,16.1,49,95,0.5,0.9,12.8,8,86.4,19,755,17.6,74.2,19972,49238,13.3,6572.43,1.9,1.918012059
Morgan ,UT,10608,9469,35.4,11.3,49.1,97.6,0.3,0.7,2.7,1.8,97.6,33.4,725,26.1,89.2,26274,80337,4,609.2,15.5,17.41300066
Piute ,UT,1484,1556,25.7,24.7,48.5,97,0.2,0.5,7.7,1.8,88.7,17,184,20.3,83.5,16959,38500,25.4,757.79,2.1,1.958326185
Rich ,UT,2293,2264,29.7,17.7,48.7,97.6,0.3,0.3,4.6,0.5,95.3,17,178,22,83.4,24258,50000,7,1028.78,2.2,2.228853594
Salt Lake ,UT,1091742,1029655,28.3,9.6,49.8,88.5,2,3.9,17.8,12.1,89,31,49590,22.2,67.3,26103,60555,12.7,742.28,1387.1,1470.795387
San Juan ,UT,15251,14746,32.2,11.9,50.2,50,0.4,0.7,5.1,2.1,82.8,18.4,606,20.5,81.2,15476,40492,27.1,7819.99,1.9,1.950258248
Sanpete ,UT,28477,27822,27.6,12.8,47.7,94.3,1,0.8,9.7,4.8,88.4,20.8,1729,21,76.2,17811,48369,15.7,1590.15,17.5,17.90837342
Sevier ,UT,20773,20802,30.2,15.7,49.1,96.5,0.3,0.4,4.9,2.4,89.9,16.4,1266,15.3,79,19115,46229,15.4,1910.58,10.9,10.8726146
Summit ,UT,39105,36324,26.2,9.8,48.9,95.4,0.7,1.7,11.6,10.6,93.1,48.7,1912,24.1,74.4,42462,83336,8.5,1871.71,19.4,20.89265965
Tooele ,UT,61598,58218,34.5,8.6,49.5,94.3,0.9,0.8,11.8,3.7,92,20.4,3756,29.5,75.2,22252,61412,8.7,6941.35,8.4,8.874066284
Uintah ,UT,36867,32588,33.8,9.1,49.1,88.4,0.6,0.5,8,3.7,86.2,16.2,1934,19,75,23805,62067,11.6,4479.69,7.3,8.229810545
Utah ,UT,560974,516564,34.9,7.2,49.6,93.5,0.7,1.6,11.2,7.2,93.6,36.5,17282,21.1,67.9,20774,60196,14,2003.45,257.8,280.0039931
Wasatch ,UT,27714,23530,32.9,9.4,48.6,95.8,0.5,1.2,12.9,10.2,89.6,33.4,853,23.9,75.5,25777,65050,9.5,1175.5,20,23.57635049
Washington ,UT,151948,138115,28.3,19.6,50.5,93.7,0.8,0.9,10,5.9,91.7,26.4,10729,18.1,69.1,21472,49279,15.3,2426.36,56.9,62.62384807
Wayne ,UT,2723,2778,27.1,18.8,49.2,96.2,0.1,0.8,4.8,2.4,95.7,25.2,205,14.4,83.9,19858,41458,18.2,2460.68,1.1,1.106604678
Weber ,UT,240475,231236,29.2,11.1,49.8,92.9,1.6,1.5,17.7,7.1,88.8,22.7,16813,21.4,71.6,23106,54974,12.8,576.08,401.4,417.4333426
Accomack ,VA,33021,33164,20.9,21.3,51.3,68.8,28.1,0.7,8.9,7,78,17.2,3255,21.2,69.5,22703,39328,20.5,449.5,73.8,73.46162403
Albemarle ,VA,104489,98970,21,16.5,52.2,82.3,9.9,4.9,5.7,9.8,91.4,52.2,6838,22.2,66.1,37239,67725,10.2,720.7,137.3,144.9826558
Alleghany ,VA,15820,16250,19.1,24.3,50.8,92.9,4.8,0.5,1.4,1.4,82.7,16.4,1435,23.4,79.9,24162,44848,12.6,445.46,36.5,35.51385085
Amelia ,VA,12855,12690,21.1,18.2,51.3,74.8,21.9,1.1,3.1,1.2,78.9,14,1082,34.2,79.9,25100,52885,8.3,355.27,35.7,36.18374757
Amherst ,VA,32041,32353,19.8,18.9,52.2,77.3,19.1,0.5,2.2,1.8,79.1,17.4,2551,23.1,74.1,22580,44945,11.4,473.93,68.3,67.60703057
Appomattox ,VA,15279,14973,21.9,19.1,51.5,77.6,19.9,0.4,1.2,0.9,82.2,15,1481,28.6,80.2,23636,50167,17.7,333.49,44.9,45.81546673
Arlington ,VA,226908,207627,17.2,9.3,49.9,76.6,9.1,10.3,15.7,23,93.3,71.7,12638,27.3,45.2,62018,103208,8,25.97,7993.6,8737.312283
Augusta ,VA,73862,73750,19.7,19.4,49.4,93.7,4.2,0.6,2.5,1.9,84.2,19.9,6308,23.6,80.9,25519,52027,9.5,967,76.3,76.38262668
Bath ,VA,4563,4731,16,25,49.3,93.5,5,0.4,1.8,3.8,90,20.2,396,31.8,76.2,28704,51365,16.4,529.16,8.9,8.623100763
Bedford ,VA,76583,68676,20.4,19.4,50.7,90,7,1.2,2,1.7,87.6,25,7104,27.6,85,28697,57596,8.2,753.02,91.2,101.70115
Bland ,VA,6625,6824,16.7,20.3,44.7,95.1,3.7,0.3,0.7,1.5,83.4,14.7,722,32.1,82.5,18501,42139,16.6,357.73,19.1,18.51955385
Botetourt ,VA,33100,33148,20.1,19.9,50.6,94.3,3.5,0.7,1.5,1.9,90.2,24.9,3169,25.6,88.1,32490,65935,7.7,541.2,61.2,61.16038433
Brunswick ,VA,16498,17434,17.7,19.2,47.6,43,55.1,0.4,2.1,1.5,71.3,12.2,887,29.6,72.2,16060,36293,24,566.17,30.8,29.1396577
Buchanan ,VA,23106,24098,17.7,19.4,49.1,96.2,2.8,0.3,0.6,1.4,68.2,8.3,1175,30.1,78.6,17489,29848,25.9,502.76,47.9,45.95831013
Buckingham ,VA,16913,17146,18.8,16.9,45.6,62.8,34.6,0.4,2.1,1.7,70.9,11.9,1289,32,76,17167,38648,23,579.66,29.6,29.17744885
Campbell ,VA,54885,54842,20.1,18.1,51.3,82.3,14.5,1,2.2,1.8,83.8,17.1,4848,22.1,76,23231,47162,14.7,503.87,108.8,108.9269057
Caroline ,VA,29778,28545,23.5,15.1,50.9,67,28.2,0.9,4.2,2.8,80.9,16.8,2747,37.7,80.1,25718,57218,12.7,527.51,54.1,56.45011469
Carroll ,VA,29621,30042,19.3,21.7,50.4,97.8,0.9,0.2,3.1,1.9,76.2,12.8,2529,26.5,78.7,19385,32853,18.1,474.69,63.3,62.40072468
Charles City ,VA,7023,7256,15.8,21.3,50.9,42.1,47.5,0.4,1.7,0.9,75.9,13.9,706,35.9,80.5,26198,48428,11.8,182.82,39.7,38.41483426
Charlotte ,VA,12225,12586,21.6,20.2,50.2,68.5,29.3,0.3,2.8,1.1,74.8,15.6,1008,32.1,73,18762,33015,17.9,475.27,26.5,25.72222105
Chesterfield ,VA,332499,316236,24.4,12.8,51.8,69.8,23.3,3.6,8,7.9,90.1,36.3,27083,25.5,77,32572,72088,6.7,423.3,747.1,785.4925585
Clarke ,VA,14423,14034,21.4,18.1,50,90.8,5.1,1.2,4.4,3.9,89,31.3,1639,37,79.7,38748,77597,6.7,176.18,79.7,81.86513793
Craig ,VA,5234,5190,19.3,21.1,49.9,98.4,0.2,0.2,1,0.3,89.7,14.6,636,32,84.4,21498,47806,8.7,329.53,15.7,15.88322763
Culpeper ,VA,49166,46689,25.4,13.9,49.7,78.9,15.8,1.5,9.2,6.6,84.3,22.6,3854,36.2,73,27379,64423,9.1,379.23,123.1,129.6469161
Cumberland ,VA,9827,10052,21,19.3,52.2,64.8,32.2,0.4,2.4,1.2,76.9,14,847,33.6,77.4,21540,40557,16.3,297.46,33.8,33.03637464
Dickenson ,VA,15308,15903,20.6,18.9,49.2,98.7,0.4,0.2,0.9,1,72.4,10.5,955,31.2,78.1,18215,33318,20.9,330.53,48.1,46.31349651
Dinwiddie ,VA,27859,28001,20.3,16.3,51.1,64.6,32.7,0.6,2.9,2.2,80.2,12.8,2439,28,76.6,23781,52027,13.2,503.72,55.6,55.30651949
Essex ,VA,11103,11151,20,20.4,52.9,57.6,37.9,1,3.6,2.5,76.7,14.7,929,32.6,76.2,21532,44885,11.1,257.12,43.4,43.18217175
Fairfax ,VA,1137538,1081726,23.8,11.5,50.5,66.6,10,19.2,16.4,29.5,91.8,58.6,83545,32,69,50532,110292,5.9,390.97,2766.8,2909.527585
Fauquier ,VA,68248,65203,23.9,14.9,50.5,87.3,8.2,1.5,7.2,5.8,91.4,33.2,6424,39.2,80.1,39600,88409,5.6,647.45,100.7,105.4104564
Floyd ,VA,15578,15279,20.5,20.4,49.6,96.1,1.9,0.6,2.8,2,81.4,16,1305,34.5,77.6,21816,44618,12.7,380.42,40.2,40.94947689
Fluvanna ,VA,26092,25691,21.2,18.3,54.3,81.5,15.4,0.7,3.2,2.8,85.5,28.8,2283,33.5,85.5,30881,68288,7.1,286.01,89.8,91.22757946
Franklin ,VA,56358,56159,19.7,20.8,50.7,89.4,8.4,0.4,2.7,2.5,82.7,19.1,4703,29.8,78,24557,45624,14,690.43,81.3,81.62739163
Frederick ,VA,82377,78305,23.5,15.2,50.2,91.4,4.6,1.6,7.4,5.5,86,27.5,7459,30.3,78.3,30112,68424,7.1,413.5,189.4,199.2188634
Giles ,VA,16815,17286,20.7,20,50.8,96.7,1.6,0.5,1.6,1.3,80.5,16.6,1323,25.8,75.9,23485,45141,13.3,355.78,48.6,47.26235314
Gloucester ,VA,37141,36858,20.5,17.5,50.7,87.8,8.4,0.9,3.3,1.9,89.3,22,4457,32.8,82.9,28673,60519,9.2,217.81,169.2,170.5201781
Goochland ,VA,21936,21717,19.1,19.4,50.6,79.3,17.7,1.3,2.4,2.8,87.4,38,2026,30.1,90.2,45039,80976,5.6,281.42,77.2,77.9475517
Grayson ,VA,15093,15533,17.9,23.6,51.3,96.1,2.3,0.2,3,0.9,75.3,10.9,1091,27.7,77.7,20591,30710,19.1,442.18,35.1,34.13315844
Greene ,VA,19031,18403,24.3,15.7,50.4,88.6,6.9,1.7,5,4.1,83.1,24.1,1853,29.3,79,26998,59358,12,156.25,117.8,121.7984
Greensville ,VA,11681,12243,17.5,15.1,38.8,38.8,59.3,0.6,2.1,1.2,72.7,7.2,1002,23.5,75.8,16380,39697,21.6,295.23,41.5,39.56576229
Halifax ,VA,35200,36241,20.8,22,52,61.3,36.6,0.5,1.9,1.5,78.9,15.2,2721,23.4,72.3,20929,34659,21.3,817.84,44.3,43.04020346
Hanover ,VA,101918,99863,22.7,15.7,51,86.7,9.6,1.6,2.6,3.4,92.1,35.5,7945,25.3,83.4,33540,75070,5.1,468.54,213.1,217.5225168
Henrico ,VA,321924,306935,23.4,13.8,52.8,59.3,30.1,7.9,5.4,11.5,90.1,39.7,22033,21.9,65.2,33115,61048,10.7,233.7,1313.4,1377.509628
Henry ,VA,52081,54151,19.8,21.8,51.8,75.3,22,0.6,5.4,3.1,77,11.2,4277,24.4,74.6,19852,34984,17.1,382.33,141.6,136.2200194
